"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"14226","","","","1","","image-text","82","1926792","0.0-10.0-1.20","","","{""Q0"":""The artist punches the clown.""}"
"652","false","img/P31.jpg","89","1","n","categorize-image-asp","84","1936832","0.0-10.0-0.21","false","89",""
"13860","","","","1","","image-text","85","1950695","0.0-10.0-1.21","","","{""Q0"":""The acadmic scolds the soldier.""}"
"918","true","img/P09.jpg","89","1","y","categorize-image-asp","87","1964282","0.0-10.0-0.22","true","89",""
"10818","","","","1","","image-text","88","1975103","0.0-10.0-1.22","","","{""Q0"":""The sailor is followed by the pirate!""}"
"1342","true","img/P29.jpg","89","1","y","categorize-image-asp","90","1990672","0.0-10.0-0.23","true","89",""
"12204","","","","1","","image-text","91","2002879","0.0-10.0-1.23","","","{""Q0"":""The boxer is scolded by the police officer.""}"
"1119","false","img/P03.jpg","89","1","n","categorize-image-asp","93","2012361","0.0-10.0-0.24","false","89",""
"18610","","","","1","","image-text","94","2030975","0.0-10.0-1.24","","","{""Q0"":""The swimmer is chased by the police officer.""}"
"1694","false","img/P08.jpg","89","1","n","categorize-image-asp","96","2043100","0.0-10.0-0.25","false","89",""
"14830","","","","1","","image-text","97","2057934","0.0-10.0-1.25","","","{""Q0"":""The thief is kicked by the waitress.""}"
"797","true","img/P38.jpg","89","1","y","categorize-image-asp","99","2069371","0.0-10.0-0.26","true","89",""
"9719","","","","1","","image-text","100","2079093","0.0-10.0-1.26","","","{""Q0"":""The ballerina is pulled by the pirate.""}"
"2221","false","img/P48.jpg","89","1","n","categorize-image-asp","102","2095630","0.0-10.0-0.27","false","89",""
"18709","","","","1","","image-text","103","2114341","0.0-10.0-1.27","","","{""Q0"":""The monk is playfully tickled by the waitress.""}"
"1155","false","img/P11.jpg","89","1","n","categorize-image-asp","105","2126780","0.0-10.0-0.28","false","89",""
"16327","","","","1","","image-text","106","2143109","0.0-10.0-1.28","","","{""Q0"":""The pirate follows the doctor.""}"
"618","false","img/P39.jpg","89","1","n","categorize-image-asp","108","2154440","0.0-10.0-0.29","false","89",""
"15066","","","","1","","image-text","109","2169508","0.0-10.0-1.29","","","{""Q0"":""The clown is kissed by teh artist.""}"
"746","false","img/P35.jpg","89","1","n","categorize-image-asp","111","2180570","0.0-10.0-0.30","false","89",""
"9737","","","","1","","image-text","112","2190309","0.0-10.0-1.30","","","{""Q0"":""The artist kisses the soldier.""}"
"761","false","img/P23.jpg","89","1","n","categorize-image-asp","114","2201759","0.0-10.0-0.31","false","89",""
"10730","","","","1","","image-text","115","2212492","0.0-10.0-1.31","","","{""Q0"":""The cowboy punches the ballerina.""}"
"852","false","img/P43.jpg","89","1","n","categorize-image-asp","117","2226829","0.0-10.0-0.32","false","89",""
"15019","","","","1","","image-text","118","2241852","0.0-10.0-1.32","","","{""Q0"":""The police officer slaps the boxer.""}"
"1886","true","img/P05.jpg","89","1","y","categorize-image-asp","120","2253609","0.0-10.0-0.33","true","89",""
"14297","","","","1","","image-text","121","2267908","0.0-10.0-1.33","","","{""Q0"":""The robber is chased away by the pirate.""}"
"1788","true","img/P41.jpg","89","1","y","categorize-image-asp","123","2282119","0.0-10.0-0.34","true","89",""
"12874","","","","1","","image-text","124","2294996","0.0-10.0-1.34","","","{""Q0"":""The swimmer is slapped by the police officer.""}"
"531","false","img/P16.jpg","89","1","n","categorize-image-asp","126","2306958","0.0-10.0-0.35","false","89",""
"14849","","","","1","","image-text","127","2321811","0.0-10.0-1.35","","","{""Q0"":""The ballerina is pushed by the cowboy.""}"
"148220","","","","2","","survey-text","129","2474201","0.0-11.0","","","{""Q0"":""Yes I am."",""Q1"":""Yes, i am also fluent in spanish."",""Q2"":""Maybe. My partner messed up somtimes but I still know what they meant.  Little mistakes."",""Q3"":""Not at all."",""Q4"":""Not really, they were all pretty straight forward."",""Q5"":""Maybe to see if we adjust to the way our partner describes things."",""Q6"":""The instructions are crystal clear.""}"
